Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
24L007784_1	(1.0, 94.38668128924176)	(2.0, 2.5273099469061453)	(3.0, 0.8500382661340042)	(4.0, 0.4871005173416658)	(5.0, 0.2986125232503917)	(6.0, 0.21596256633289562)	(7.0, 0.17480404275375214)	(8.0, 0.1603010812392465)	(9.0, 0.10971702528981055)	('>10', 0.6810379654035273)	('>50', 0.03059109398607752)	('>100', 0.03393555551476156)	('>500', 0.017574408997317225)	('>1k', 0.02633371760867851)	('>5k', 0.0)	('>10k+', 0.0)
24L007784_2	(1.0, 64.97139055702213)	(2.0, 6.993765160426582)	(3.0, 2.1147599470327605)	(4.0, 1.174287302710182)	(5.0, 0.8171209146994094)	(6.0, 0.6433766186359766)	(7.0, 0.5603900409839925)	(8.0, 0.44237044925926705)	(9.0, 0.3351855082671605)	('>10', 5.561782429569239)	('>50', 2.5754098776649257)	('>100', 5.286974191213977)	('>500', 1.665420086040827)	('>1k', 3.8878910431906806)	('>5k', 0.9098644549326568)	('>10k+', 2.0600114183501246)
24L007784_3	(1.0, 94.07914870508695)	(2.0, 2.6366959673510033)	(3.0, 0.9551360513089221)	(4.0, 0.48290492046501676)	(5.0, 0.3385168579473831)	(6.0, 0.2685442199033737)	(7.0, 0.17783109375398262)	(8.0, 0.17171870097139544)	(9.0, 0.15286108429772538)	('>10', 0.6397774114315126)	('>50', 0.021724003711176214)	('>100', 0.03421238165983381)	('>500', 0.017527071963120863)	('>1k', 0.02340153014856247)	('>5k', 0.0)	('>10k+', 0.0)
24L007784_4	(1.0, 65.54491579330438)	(2.0, 7.105946732465263)	(3.0, 2.188619728675617)	(4.0, 1.1501706716734652)	(5.0, 0.7724530168828261)	(6.0, 0.6276752706285335)	(7.0, 0.5439342818943913)	(8.0, 0.4112571416284795)	(9.0, 0.4302429394994779)	('>10', 5.472815375276953)	('>50', 2.558909382644937)	('>100', 5.037433840985621)	('>500', 1.685283446716582)	('>1k', 3.695160911335161)	('>5k', 0.8059382385529104)	('>10k+', 1.969243227835387)
2CLCmesc_0-0-3_S15_1	(1.0, 88.90120367112195)	(2.0, 3.4743158607319495)	(3.0, 1.2282913944512424)	(4.0, 0.7569610465381448)	(5.0, 0.5001196617038572)	(6.0, 0.3391653120561678)	(7.0, 0.25970857279677834)	(8.0, 0.2170772580975304)	(9.0, 0.1782818618224372)	('>10', 2.0907391293791866)	('>50', 0.6573521341118496)	('>100', 0.7513569215330582)	('>500', 0.13842744308045507)	('>1k', 0.25289873363442106)	('>5k', 0.08081894560198508)	('>10k+', 0.1732820533389118)
2CLCmesc_0-0-3_S15_2	(1.0, 62.36544056703589)	(2.0, 6.211885064619335)	(3.0, 2.2373072735571147)	(4.0, 1.2801992585328539)	(5.0, 0.8930762710105348)	(6.0, 0.7139575853803293)	(7.0, 0.6064823407389248)	(8.0, 0.5325827517606326)	(9.0, 0.43309128785409834)	('>10', 6.440578634116117)	('>50', 2.686289766609257)	('>100', 6.212236547346868)	('>500', 2.1663896591570873)	('>1k', 3.8075283156053694)	('>5k', 1.1593292951782384)	('>10k+', 2.253625381497316)
2CLCmesc_0-0-4_S16_1	(1.0, 95.80158058036956)	(2.0, 2.153550731140005)	(3.0, 0.5552794126800552)	(4.0, 0.28701315163315333)	(5.0, 0.17978199252668797)	(6.0, 0.13168537401395386)	(7.0, 0.08432163840614625)	(8.0, 0.05400106453574967)	(9.0, 0.04802734398464164)	('>10', 0.42116681643434095)	('>50', 0.08105564233445792)	('>100', 0.12880354627367474)	('>500', 0.03212623440942031)	('>1k', 0.041606471258222234)	('>5k', 0.0)	('>10k+', 0.0)
2CLCmesc_0-0-4_S16_2	(1.0, 60.16747236670216)	(2.0, 6.489903899536744)	(3.0, 2.211123223731441)	(4.0, 1.2491139647029563)	(5.0, 0.8365390852611213)	(6.0, 0.7297311432389428)	(7.0, 0.5679436042029481)	(8.0, 0.47322531940225554)	(9.0, 0.41509475466229123)	('>10', 5.854366042716862)	('>50', 2.462666048934792)	('>100', 5.924690505751733)	('>500', 2.4385762124577846)	('>1k', 5.116508895312458)	('>5k', 1.8236324650658917)	('>10k+', 3.239412468319686)
2CLCmesc_003_RR_S3_1	(1.0, 95.18706058965482)	(2.0, 2.614788466271888)	(3.0, 0.637008759277937)	(4.0, 0.2729280498527924)	(5.0, 0.19596634993266096)	(6.0, 0.09791118058825388)	(7.0, 0.06351651720813246)	(8.0, 0.06997371080464995)	(9.0, 0.05891541325245023)	('>10', 0.46674775687278847)	('>50', 0.08804098629822679)	('>100', 0.14933471017096062)	('>500', 0.017993438535216406)	('>1k', 0.07981407127928748)	('>5k', 0.0)	('>10k+', 0.0)
2CLCmesc_003_RR_S3_2	(1.0, 26.044627921078966)	(2.0, 3.1704558336866002)	(3.0, 1.362896530361494)	(4.0, 0.9196098709152313)	(5.0, 0.752071435295596)	(6.0, 0.6105588813753102)	(7.0, 0.5289740475277598)	(8.0, 0.4726846485930321)	(9.0, 0.43136866260282314)	('>10', 7.475239758228318)	('>50', 4.124889978388166)	('>100', 13.553150318554078)	('>500', 8.416350216844757)	('>1k', 21.061591761819166)	('>5k', 5.699078715795509)	('>10k+', 5.376451418933221)
2CLCmesc_004_RR_S4_1	(1.0, 97.20925108732592)	(2.0, 1.6135887628261176)	(3.0, 0.2798042156069072)	(4.0, 0.13746375868549218)	(5.0, 0.0740984957196621)	(6.0, 0.06014134606694043)	(7.0, 0.05220634464764934)	(8.0, 0.03186721847527547)	(9.0, 0.021678463086030716)	('>10', 0.2379886517177469)	('>50', 0.08081312857929536)	('>100', 0.10386263656969326)	('>500', 0.030936769330298458)	('>1k', 0.06629912136293448)	('>5k', 0.0)	('>10k+', 0.0)
