Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
combined_003_2	(1.0, 62.36544056703589)	(2.0, 6.211885064619335)	(3.0, 2.2373072735571147)	(4.0, 1.2801992585328539)	(5.0, 0.8930762710105348)	(6.0, 0.7139575853803293)	(7.0, 0.6064823407389248)	(8.0, 0.5325827517606326)	(9.0, 0.43309128785409834)	('>10', 6.440578634116117)	('>50', 2.686289766609257)	('>100', 6.212236547346868)	('>500', 2.1663896591570873)	('>1k', 3.8075283156053694)	('>5k', 1.1593292951782384)	('>10k+', 2.253625381497316)
combined_003_3	(1.0, 95.18706058965482)	(2.0, 2.614788466271888)	(3.0, 0.637008759277937)	(4.0, 0.2729280498527924)	(5.0, 0.19596634993266096)	(6.0, 0.09791118058825388)	(7.0, 0.06351651720813246)	(8.0, 0.06997371080464995)	(9.0, 0.05891541325245023)	('>10', 0.46674775687278847)	('>50', 0.08804098629822679)	('>100', 0.14933471017096062)	('>500', 0.017993438535216406)	('>1k', 0.07981407127928748)	('>5k', 0.0)	('>10k+', 0.0)
combined_003_4	(1.0, 26.044627921078966)	(2.0, 3.1704558336866002)	(3.0, 1.362896530361494)	(4.0, 0.9196098709152313)	(5.0, 0.752071435295596)	(6.0, 0.6105588813753102)	(7.0, 0.5289740475277598)	(8.0, 0.4726846485930321)	(9.0, 0.43136866260282314)	('>10', 7.475239758228318)	('>50', 4.124889978388166)	('>100', 13.553150318554078)	('>500', 8.416350216844757)	('>1k', 21.061591761819166)	('>5k', 5.699078715795509)	('>10k+', 5.376451418933221)
combined_004_1	(1.0, 95.80158058036956)	(2.0, 2.153550731140005)	(3.0, 0.5552794126800552)	(4.0, 0.28701315163315333)	(5.0, 0.17978199252668797)	(6.0, 0.13168537401395386)	(7.0, 0.08432163840614625)	(8.0, 0.05400106453574967)	(9.0, 0.04802734398464164)	('>10', 0.42116681643434095)	('>50', 0.08105564233445792)	('>100', 0.12880354627367474)	('>500', 0.03212623440942031)	('>1k', 0.041606471258222234)	('>5k', 0.0)	('>10k+', 0.0)
combined_004_2	(1.0, 60.16747236670216)	(2.0, 6.489903899536744)	(3.0, 2.211123223731441)	(4.0, 1.2491139647029563)	(5.0, 0.8365390852611213)	(6.0, 0.7297311432389428)	(7.0, 0.5679436042029481)	(8.0, 0.47322531940225554)	(9.0, 0.41509475466229123)	('>10', 5.854366042716862)	('>50', 2.462666048934792)	('>100', 5.924690505751733)	('>500', 2.4385762124577846)	('>1k', 5.116508895312458)	('>5k', 1.8236324650658917)	('>10k+', 3.239412468319686)
combined_004_3	(1.0, 97.20925108732592)	(2.0, 1.6135887628261176)	(3.0, 0.2798042156069072)	(4.0, 0.13746375868549218)	(5.0, 0.0740984957196621)	(6.0, 0.06014134606694043)	(7.0, 0.05220634464764934)	(8.0, 0.03186721847527547)	(9.0, 0.021678463086030716)	('>10', 0.2379886517177469)	('>50', 0.08081312857929536)	('>100', 0.10386263656969326)	('>500', 0.030936769330298458)	('>1k', 0.06629912136293448)	('>5k', 0.0)	('>10k+', 0.0)
combined_004_4	(1.0, 24.2988444485159)	(2.0, 3.223066551706971)	(3.0, 1.4161820967951388)	(4.0, 0.9129428096882745)	(5.0, 0.7346908613994514)	(6.0, 0.5938400903655504)	(7.0, 0.5351411897054774)	(8.0, 0.4868932707773972)	(9.0, 0.42205404389020096)	('>10', 7.747584851914042)	('>50', 4.270232456379875)	('>100', 13.218075988466433)	('>500', 7.9301231148876346)	('>1k', 22.1578451088147)	('>5k', 5.3125666817522985)	('>10k+', 6.739916434940585)
combined_011_1	(1.0, 94.94572098791629)	(2.0, 2.024835474861962)	(3.0, 0.6521085509122859)	(4.0, 0.389732095695372)	(5.0, 0.23827405344120653)	(6.0, 0.1792459265434337)	(7.0, 0.16072413384888984)	(8.0, 0.11503225227644022)	(9.0, 0.09485780812500942)	('>10', 0.5633029114401887)	('>50', 0.1257746232598507)	('>100', 0.2553943614491306)	('>500', 0.0687207156627509)	('>1k', 0.18627610456722432)	('>5k', 0.0)	('>10k+', 0.0)
combined_011_2	(1.0, 69.28503952236767)	(2.0, 4.8574359742551545)	(3.0, 1.7386629202826385)	(4.0, 1.0238808242075226)	(5.0, 0.7396516694546048)	(6.0, 0.5754653251310988)	(7.0, 0.49646245235065156)	(8.0, 0.46037815569727486)	(9.0, 0.3499165731688799)	('>10', 5.544289744093186)	('>50', 2.3353266879313055)	('>100', 4.572115158175799)	('>500', 1.6650649132108002)	('>1k', 3.2337471623487137)	('>5k', 1.2916251869010142)	('>10k+', 1.8309377304236916)
combined_011_3	(1.0, 94.79221838877027)	(2.0, 2.1637806191375404)	(3.0, 0.7066780436836242)	(4.0, 0.3877977280217153)	(5.0, 0.2566398419787723)	(6.0, 0.17413439593745522)	(7.0, 0.1462955590587283)	(8.0, 0.12019959286349152)	(9.0, 0.09379609956259623)	('>10', 0.5780095290652042)	('>50', 0.12991512546564693)	('>100', 0.24007935993666973)	('>500', 0.09061175328347175)	('>1k', 0.11984396323461857)	('>5k', 0.0)	('>10k+', 0.0)
combined_011_4	(1.0, 69.85623465390654)	(2.0, 4.948510937996862)	(3.0, 1.6938824600640694)	(4.0, 1.0227804567848173)	(5.0, 0.7457726941714694)	(6.0, 0.5896778440138081)	(7.0, 0.490088266102624)	(8.0, 0.45000206482596633)	(9.0, 0.39357558337392445)	('>10', 5.500431109827748)	('>50', 2.281256425265079)	('>100', 4.385083288204489)	('>500', 1.6113231433303268)	('>1k', 3.0320556286875964)	('>5k', 1.247572033908733)	('>10k+', 1.7517534095359908)
combined_011_5	(1.0, 97.13304181799799)	(2.0, 1.7152524741019555)	(3.0, 0.267415090345607)	(4.0, 0.11001756620501069)	(5.0, 0.06485514705343862)	(6.0, 0.041713338365554874)	(7.0, 0.024514702585352367)	(8.0, 0.016408064077312295)	(9.0, 0.022650599114579742)	('>10', 0.21013493496386168)	('>50', 0.07511447437682434)	('>100', 0.174740821450042)	('>500', 0.047512569636360885)	('>1k', 0.0966283997261313)	('>5k', 0.0)	('>10k+', 0.0)
combined_011_6	(1.0, 30.254943444677394)	(2.0, 3.5908738689460846)	(3.0, 1.3989314393753047)	(4.0, 0.9127760817766293)	(5.0, 0.6826483573115849)	(6.0, 0.5854926993062044)	(7.0, 0.5158164811589927)	(8.0, 0.43308801462296687)	(9.0, 0.392191013414185)	('>10', 7.1549909642664185)	('>50', 3.725516430192618)	('>100', 11.80461016511715)	('>500', 6.759979020846026)	('>1k', 17.65814399614822)	('>5k', 6.406635021141143)	('>10k+', 7.723363001699022)
combined_016_1	(1.0, 96.13586735728609)	(2.0, 1.781482491611081)	(3.0, 0.35538910662347195)	(4.0, 0.14836387876118712)	(5.0, 0.0801574297490612)	(6.0, 0.06732282454133293)	(7.0, 0.05332357910011507)	(8.0, 0.04329708394754595)	(9.0, 0.035235264660357035)	('>10', 0.45319798174403636)	('>50', 0.15259279441929172)	('>100', 0.28674751535796184)	('>500', 0.09293252946207815)	('>1k', 0.24514431551172292)	('>5k', 0.06894584722468276)	('>10k+', 0.0)
combined_016_2	(1.0, 64.87640484325777)	(2.0, 5.223920683656484)	(3.0, 1.721169520614824)	(4.0, 1.007462607324791)	(5.0, 0.7224990413032506)	(6.0, 0.6201519541940499)	(7.0, 0.4739313214404625)	(8.0, 0.4157931036752679)	(9.0, 0.3481024610903937)	('>10', 5.290309735883498)	('>50', 2.1695418092808265)	('>100', 5.239577708593044)	('>500', 2.2885041357680254)	('>1k', 4.960645963061463)	('>5k', 1.5449372396778265)	('>10k+', 3.0970478711780487)
combined_016_3	(1.0, 95.90712835271385)	(2.0, 1.9709474741146285)	(3.0, 0.37457617714426283)	(4.0, 0.17969278624624554)	(5.0, 0.12076271948506831)	(6.0, 0.07140937126552123)	(7.0, 0.050248194255787706)	(8.0, 0.0453565726650284)	(9.0, 0.03212242960064238)	('>10', 0.44988684226827114)	('>50', 0.1550593589223054)	('>100', 0.26988643462627304)	('>500', 0.15005673011267046)	('>1k', 0.15852371738890894)	('>5k', 0.06434283919045349)	('>10k+', 0.0)
combined_016_4	(1.0, 65.61046337596335)	(2.0, 5.2303827197053865)	(3.0, 1.7695147313537753)	(4.0, 0.9959198430400775)	(5.0, 0.7386653216941399)	(6.0, 0.5798516049168485)	(7.0, 0.5073675550643089)	(8.0, 0.4022618086918714)	(9.0, 0.4003346458363753)	('>10', 5.141863049201548)	('>50', 2.250971875281584)	('>100', 5.04948338763073)	('>500', 2.2583208844975355)	('>1k', 4.68619867735162)	('>5k', 1.4219190510798099)	('>10k+', 2.9564814686910728)
combined_016_5	(1.0, 96.0910269514716)	(2.0, 2.0700024474685907)	(3.0, 0.3972021029471317)	(4.0, 0.16069852219159486)	(5.0, 0.10158072629681894)	(6.0, 0.0714664400066231)	(7.0, 0.046174867537585026)	(8.0, 0.04125137337216958)	(9.0, 0.031094329220726354)	('>10', 0.3839125819412619)	('>50', 0.13784679878466025)	('>100', 0.24017643327559224)	('>500', 0.05032466644687208)	('>1k', 0.17724175903866257)	('>5k', 0.0)	('>10k+', 0.0)
combined_016_6	(1.0, 36.27777045743413)	(2.0, 4.01360403819375)	(3.0, 1.5167260767653512)	(4.0, 0.9723437756772391)	(5.0, 0.7211122926945612)	(6.0, 0.5844961655494089)	(7.0, 0.49828866800395333)	(8.0, 0.45234263966411803)	(9.0, 0.3835189821926573)	('>10', 7.020277802769661)	('>50', 3.731802602079506)	('>100', 11.813649829304463)	('>500', 6.329450542763274)	('>1k', 16.404292859144398)	('>5k', 4.509627144474441)	('>10k+', 4.770696123288991)
combined_1_1	(1.0, 94.52934498677975)	(2.0, 2.3012279668614353)	(3.0, 0.7568354440130345)	(4.0, 0.37627168180087295)	(5.0, 0.23122719716276088)	(6.0, 0.14998116649938645)	(7.0, 0.09865438737862939)	(8.0, 0.0959489575316199)	(9.0, 0.07375826964682941)	('>10', 0.6707391046604408)	('>50', 0.1762160853701863)	('>100', 0.27794321820159223)	('>500', 0.07534878733637912)	('>1k', 0.11682159268110648)	('>5k', 0.06968115407602177)	('>10k+', 0.0)
combined_1_2	(1.0, 66.92656366225742)	(2.0, 4.454921013667813)	(3.0, 1.7461210948832764)	(4.0, 1.0689319586441612)	(5.0, 0.7480470692246798)	(6.0, 0.6165298530994445)	(7.0, 0.5316683197845102)	(8.0, 0.4460921501067395)	(9.0, 0.3988674207695198)	('>10', 6.054369772243053)	('>50', 2.75777950369245)	('>100', 6.134614560811257)	('>500', 2.141699898350482)	('>1k', 3.5816935826817367)	('>5k', 0.7784389339034269)	('>10k+', 1.6136612058800188)
combined_1_3	(1.0, 96.85101888386622)	(2.0, 1.75328226175469)	(3.0, 0.2736272913372367)	(4.0, 0.12477964776385275)	(5.0, 0.07384876652086668)	(6.0, 0.06314635160980724)	(7.0, 0.03691429510448511)	(8.0, 0.033038833940509216)	(9.0, 0.01898928334796159)	('>10', 0.3366711067670745)	('>50', 0.1379570856648645)	('>100', 0.22833286292385188)	('>500', 0.018454882264533522)	('>1k', 0.04993844713406005)	('>5k', 0.0)	('>10k+', 0.0)
combined_1_4	(1.0, 29.567659063224127)	(2.0, 4.567829061515539)	(3.0, 2.168675976402161)	(4.0, 1.5343027322540705)	(5.0, 1.2307179048597094)	(6.0, 1.038726773963549)	(7.0, 0.9127670676274793)	(8.0, 0.8072063127583974)	(9.0, 0.6891605948405276)	('>10', 12.447807811843788)	('>50', 5.846992194375703)	('>100', 19.488006901250593)	('>500', 10.216477457318447)	('>1k', 8.300159632326135)	('>5k', 0.48548557638385686)	('>10k+', 0.6980249390558947)
combined_2_1	(1.0, 95.27815235978785)	(2.0, 1.8265514373289815)	(3.0, 0.5230660961028248)	(4.0, 0.2818277069622707)	(5.0, 0.18703981070837544)	(6.0, 0.11272469198477279)	(7.0, 0.08262508753608842)	(8.0, 0.07274668042995108)	(9.0, 0.06792408052377316)	('>10', 0.6426829171552773)	('>50', 0.19873982303721308)	('>100', 0.3199431454471625)	('>500', 0.10229523356577537)	('>1k', 0.18632948514380449)	('>5k', 0.0)	('>10k+', 0.11735144428586171)
combined_2_2	(1.0, 70.03046040740247)	(2.0, 3.958723441220038)	(3.0, 1.5286303509130807)	(4.0, 1.0647006510204653)	(5.0, 0.8020635637225163)	(6.0, 0.5953913313830104)	(7.0, 0.5127477030614969)	(8.0, 0.4329623200445344)	(9.0, 0.40536178351724494)	('>10', 6.257072255781774)	('>50', 2.647758658386917)	('>100', 5.330319647847913)	('>500', 1.9670524725337473)	('>1k', 2.6425519742778)	('>5k', 0.5394259984018077)	('>10k+', 1.2847774404851617)
combined_2_3	(1.0, 96.33583118651273)	(2.0, 1.7314896049551387)	(3.0, 0.33631877976516933)	(4.0, 0.17221821097307552)	(5.0, 0.11109046491021149)	(6.0, 0.06562133011708787)	(7.0, 0.061890744817695784)	(8.0, 0.057074378025464514)	(9.0, 0.03549409358832036)	('>10', 0.41636406036019996)	('>50', 0.15829193389188634)	('>100', 0.31230990453858554)	('>500', 0.08350264818635003)	('>1k', 0.12250265935802815)	('>5k', 0.0)	('>10k+', 0.0)
combined_2_4	(1.0, 28.135698227464403)	(2.0, 4.049433804880262)	(3.0, 1.9239244827283766)	(4.0, 1.327542595665678)	(5.0, 1.0521713186688284)	(6.0, 0.8819106208463771)	(7.0, 0.7801565995427966)	(8.0, 0.6748239933092737)	(9.0, 0.5958454327843797)	('>10', 10.461474166071424)	('>50', 5.075690363972721)	('>100', 15.459578126776686)	('>500', 9.172090743694577)	('>1k', 16.5672948909699)	('>5k', 2.502196914160021)	('>10k+', 1.3401677184643357)
combined_3_1	(1.0, 93.47389038837842)	(2.0, 3.066104355242503)	(3.0, 0.7406748374179969)	(4.0, 0.36874309293672064)	(5.0, 0.2681965278942408)	(6.0, 0.20138949896147418)	(7.0, 0.1473749732432306)	(8.0, 0.10422485212393695)	(9.0, 0.0933220330430759)	('>10', 0.6846053035001979)	('>50', 0.1667645928050712)	('>100', 0.30096245050497333)	('>500', 0.11593111743692991)	('>1k', 0.17901813334375008)	('>5k', 0.02697272369251052)	('>10k+', 0.06182511947496794)
combined_3_2	(1.0, 65.05480499732845)	(2.0, 9.341079380039446)	(3.0, 3.601986362584178)	(4.0, 2.043063860984816)	(5.0, 1.4228794170062347)	(6.0, 1.0427929858957965)	(7.0, 0.7928326000235412)	(8.0, 0.6595290184679159)	(9.0, 0.5759367892097185)	('>10', 6.898090272530255)	('>50', 2.2543874177475343)	('>100', 3.0279201590443523)	('>500', 0.6278695847010949)	('>1k', 0.9185924797334883)	('>5k', 0.1332896761641305)	('>10k+', 1.6049449985390845)
combined_3_3	(1.0, 94.92964084390792)	(2.0, 2.4899411477225537)	(3.0, 0.5764955114993734)	(4.0, 0.2727448297060387)	(5.0, 0.15457372930693244)	(6.0, 0.11966885847592856)	(7.0, 0.08958484949040703)	(8.0, 0.056203739146483335)	(9.0, 0.05334016514219527)	('>10', 0.5287188783440486)	('>50', 0.13841698197031158)	('>100', 0.3217864408972747)	('>500', 0.09627011066821234)	('>1k', 0.13449446893527583)	('>5k', 0.03811944478702868)	('>10k+', 0.0)
combined_3_4	(1.0, 41.19746050108759)	(2.0, 5.720131080969899)	(3.0, 2.265247497628358)	(4.0, 1.431655063909328)	(5.0, 1.0163062822956186)	(6.0, 0.8726214684929182)	(7.0, 0.7302071836875386)	(8.0, 0.6188472464998591)	(9.0, 0.5587629709292324)	('>10', 8.834848774901335)	('>50', 3.8904524736500594)	('>100', 9.903464019489881)	('>500', 5.772196136321284)	('>1k', 13.5361325433893)	('>5k', 1.6806983556711157)	('>10k+', 1.9709684010764992)
combined_4_1	(1.0, 86.74166113898588)	(2.0, 5.325057279726312)	(3.0, 1.498032379487966)	(4.0, 0.714647382662823)	(5.0, 0.5145228005028204)	(6.0, 0.355118895067872)	(7.0, 0.29805120361917453)	(8.0, 0.23557965940928777)	(9.0, 0.19997381063777114)	('>10', 2.102785647549258)	('>50', 0.3254080693743157)	('>100', 0.5478394907722657)	('>500', 0.216041332925581)	('>1k', 0.47276010225428716)	('>5k', 0.091386549166945)	('>10k+', 0.3611342578575346)
combined_4_2	(1.0, 57.462315964639785)	(2.0, 10.058430009347429)	(3.0, 4.060967362678925)	(4.0, 2.400987047585077)	(5.0, 1.678558563281669)	(6.0, 1.2636235884821778)	(7.0, 1.024884030609466)	(8.0, 0.8570975676360412)	(9.0, 0.780663452904954)	('>10', 8.084302082527273)	('>50', 2.3705774131170942)	('>100', 3.5475924082505474)	('>500', 0.8151477628388047)	('>1k', 0.8781029693668825)	('>5k', 0.5205520209645366)	('>10k+', 4.196197755769418)
combined_4_3	(1.0, 88.5559245381272)	(2.0, 4.854480181291619)	(3.0, 1.4368362969995312)	(4.0, 0.6679661308870813)	(5.0, 0.4448525767531251)	(6.0, 0.3035363229441179)	(7.0, 0.2278535842160584)	(8.0, 0.2064409943429149)	(9.0, 0.17973659693286836)	('>10', 1.5621669648523322)	('>50', 0.2797363759742598)	('>100', 0.4650790348395689)	('>500', 0.21041487317414623)	('>1k', 0.43643128726241637)	('>5k', 0.05449017604166955)	('>10k+', 0.11405406536103406)
combined_4_4	(1.0, 57.89078566610765)	(2.0, 8.274357442397033)	(3.0, 3.2204353931785086)	(4.0, 1.865645668780992)	(5.0, 1.2389744101327702)	(6.0, 0.9583142564194254)	(7.0, 0.7415719828742405)	(8.0, 0.639741571776875)	(9.0, 0.5054762455302086)	('>10', 6.998464728464484)	('>50', 2.4447712755628728)	('>100', 6.220876220516374)	('>500', 3.06308379051454)	('>1k', 3.4013008301313286)	('>5k', 0.45089995140985567)	('>10k+', 2.08530056620293)
combined_5_1	(1.0, 92.19028260068582)	(2.0, 4.044243449612896)	(3.0, 0.9296212619787412)	(4.0, 0.43512033632742886)	(5.0, 0.26044418733789915)	(6.0, 0.19364669432823728)	(7.0, 0.14667953211353413)	(8.0, 0.12276603783538802)	(9.0, 0.10990227467476457)	('>10', 0.7261738389403997)	('>50', 0.1294312466215755)	('>100', 0.23321619252982573)	('>500', 0.0857950807375174)	('>1k', 0.18372782407107863)	('>5k', 0.030083116192563535)	('>10k+', 0.17886632601233562)
combined_5_2	(1.0, 51.38641667352426)	(2.0, 10.541048125279035)	(3.0, 4.589012126303203)	(4.0, 2.7961642175128065)	(5.0, 1.9944558013225608)	(6.0, 1.4876441692142826)	(7.0, 1.2982551700228981)	(8.0, 0.9769454179135877)	(9.0, 0.8472655248494316)	('>10', 10.437043625009776)	('>50', 3.3553912703611473)	('>100', 4.996646691250227)	('>500', 1.0088153246079612)	('>1k', 1.1324058923435913)	('>5k', 0.3073263555357041)	('>10k+', 2.845163614949591)
combined_5_3	(1.0, 94.08951755715348)	(2.0, 2.7122175746011115)	(3.0, 0.6648187532014423)	(4.0, 0.35319518841046665)	(5.0, 0.24030965546735722)	(6.0, 0.15763557289575184)	(7.0, 0.11937453595515579)	(8.0, 0.10981099607365327)	(9.0, 0.07059364886899314)	('>10', 0.6130473753467577)	('>50', 0.18870041371788346)	('>100', 0.37462655902374636)	('>500', 0.0935768907143646)	('>1k', 0.11540100618450955)	('>5k', 0.09717427238526762)	('>10k+', 0.0)
combined_5_4	(1.0, 49.76687975629371)	(2.0, 8.203588971449246)	(3.0, 3.2828650569989883)	(4.0, 2.000470317325045)	(5.0, 1.5144346388432661)	(6.0, 1.1447100455979191)	(7.0, 0.9995951785667239)	(8.0, 0.7931110788884641)	(9.0, 0.7276301591286336)	('>10', 9.997134812352447)	('>50', 3.4156403933435033)	('>100', 8.788844763151014)	('>500', 3.918607204611324)	('>1k', 3.0230758688213344)	('>5k', 0.2779065934742122)	('>10k+', 2.1455051611542153)
combined_6_1	(1.0, 80.02560490573167)	(2.0, 5.189926300711318)	(3.0, 1.5930556929323165)	(4.0, 0.8158304568542581)	(5.0, 0.5298782185731208)	(6.0, 0.4246240777484931)	(7.0, 0.3412705942562075)	(8.0, 0.29087518998176015)	(9.0, 0.2320851236372159)	('>10', 2.8282213895624055)	('>50', 0.7698069207970741)	('>100', 1.6307069950324973)	('>500', 0.8001564656192639)	('>1k', 1.3538747796213562)	('>5k', 0.8707151006278959)	('>10k+', 2.303367788313088)
combined_6_2	(1.0, 59.6590305210015)	(2.0, 8.233262665574605)	(3.0, 3.207894860215241)	(4.0, 1.8567859958886106)	(5.0, 1.2919588644954358)	(6.0, 0.9509128605073701)	(7.0, 0.7339821127601135)	(8.0, 0.6374645065462987)	(9.0, 0.5219398732177692)	('>10', 6.054458832635562)	('>50', 1.531747491275523)	('>100', 2.540527103957482)	('>500', 0.5696213496935321)	('>1k', 1.098892880213887)	('>5k', 0.6559743366882688)	('>10k+', 10.455545745328784)
combined_6_3	(1.0, 81.4309341169137)	(2.0, 4.57027574832277)	(3.0, 1.3552044150468123)	(4.0, 0.7828742864461736)	(5.0, 0.5483880186589404)	(6.0, 0.37834500321223463)	(7.0, 0.3171129425145975)	(8.0, 0.26058317630606076)	(9.0, 0.21796008797711539)	('>10', 2.6872512025297577)	('>50', 0.7252373879525363)	('>100', 1.6291043644732872)	('>500', 0.7183880105021652)	('>1k', 1.9221300974294993)	('>5k', 0.7928547201625237)	('>10k+', 1.6633564215518197)
combined_6_4	(1.0, 58.77069908007662)	(2.0, 6.526176348587798)	(3.0, 2.3255676186897785)	(4.0, 1.4066022276742458)	(5.0, 0.980592335148293)	(6.0, 0.7529487823285187)	(7.0, 0.6082287814159226)	(8.0, 0.47682400531876723)	(9.0, 0.41062189510744407)	('>10', 5.157467903039809)	('>50', 1.890533747088563)	('>100', 4.055486310827434)	('>500', 0.9196431043836129)	('>1k', 1.118018837172513)	('>5k', 0.6234210227349649)	('>10k+', 13.977168000405705)
