Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
2CLCmesc_0-0-4_S16_1	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 83.0)	(18.0, 1661.0)	(19.0, 14539.0)	(20.0, 57960.0)	(21.0, 107355.0)	(22.0, 142158.0)	(23.0, 204479.0)	(24.0, 441768.0)	(25.0, 1066856.0)	(26.0, 2008944.0)	(27.0, 2486625.0)	(28.0, 2245012.0)	(29.0, 1616666.0)	(30.0, 1180389.0)	(31.0, 843016.0)	(32.0, 697100.0)	(33.0, 625315.0)	(34.0, 594264.0)	(35.0, 591931.0)	(36.0, 623662.0)	(37.0, 554509.0)	(38.0, 475191.0)	(39.0, 410890.0)	(40.0, 184391.0)
2CLCmesc_0-0-4_S16_2	(14.0, 14.0)	(15.0, 384.0)	(16.0, 5551.0)	(17.0, 36841.0)	(18.0, 87691.0)	(19.0, 99557.0)	(20.0, 91400.0)	(21.0, 103564.0)	(22.0, 124402.0)	(23.0, 136816.0)	(24.0, 152237.0)	(25.0, 164943.0)	(26.0, 192207.0)	(27.0, 267035.0)	(28.0, 520494.0)	(29.0, 981473.0)	(30.0, 1000190.0)	(31.0, 680856.0)	(32.0, 572279.0)	(33.0, 571174.0)	(34.0, 607881.0)	(35.0, 674291.0)	(36.0, 800291.0)	(37.0, 959065.0)	(38.0, 1384873.0)	(39.0, 6148181.0)	(40.0, 811085.0)												
2CLCmesc_003_RR_S3_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 42.0)	(18.0, 857.0)	(19.0, 7937.0)	(20.0, 32061.0)	(21.0, 62347.0)	(22.0, 84865.0)	(23.0, 116088.0)	(24.0, 217091.0)	(25.0, 456030.0)	(26.0, 867644.0)	(27.0, 1175875.0)	(28.0, 1174353.0)	(29.0, 890620.0)	(30.0, 676605.0)	(31.0, 601570.0)	(32.0, 567389.0)	(33.0, 500519.0)	(34.0, 486061.0)	(35.0, 515055.0)	(36.0, 624972.0)	(37.0, 666452.0)	(38.0, 707836.0)	(39.0, 655917.0)	(40.0, 158728.0)
2CLCmesc_003_RR_S3_2	(14.0, 13.0)	(15.0, 268.0)	(16.0, 3277.0)	(17.0, 20237.0)	(18.0, 50981.0)	(19.0, 56402.0)	(20.0, 39396.0)	(21.0, 31815.0)	(22.0, 31613.0)	(23.0, 32553.0)	(24.0, 35014.0)	(25.0, 38485.0)	(26.0, 45872.0)	(27.0, 60995.0)	(28.0, 103588.0)	(29.0, 175899.0)	(30.0, 226029.0)	(31.0, 241133.0)	(32.0, 280527.0)	(33.0, 342049.0)	(34.0, 415621.0)	(35.0, 512678.0)	(36.0, 636134.0)	(37.0, 788900.0)	(38.0, 1212722.0)	(39.0, 5335737.0)	(40.0, 528980.0)												
2CLCmesc_004_RR_S4_1	(16.0, 2.0)	(17.0, 45.0)	(18.0, 997.0)	(19.0, 9593.0)	(20.0, 38828.0)	(21.0, 72378.0)	(22.0, 93623.0)	(23.0, 132232.0)	(24.0, 261158.0)	(25.0, 576205.0)	(26.0, 1118196.0)	(27.0, 1527480.0)	(28.0, 1503706.0)	(29.0, 1094104.0)	(30.0, 736834.0)	(31.0, 540065.0)	(32.0, 498582.0)	(33.0, 495054.0)	(34.0, 511020.0)	(35.0, 542980.0)	(36.0, 605140.0)	(37.0, 542031.0)	(38.0, 469507.0)	(39.0, 379354.0)	(40.0, 119677.0)														
2CLCmesc_004_RR_S4_2	(14.0, 14.0)	(15.0, 423.0)	(16.0, 3970.0)	(17.0, 22556.0)	(18.0, 55437.0)	(19.0, 59474.0)	(20.0, 41092.0)	(21.0, 33586.0)	(22.0, 33421.0)	(23.0, 33656.0)	(24.0, 35532.0)	(25.0, 38575.0)	(26.0, 44735.0)	(27.0, 57346.0)	(28.0, 91304.0)	(29.0, 146017.0)	(30.0, 181382.0)	(31.0, 193717.0)	(32.0, 229532.0)	(33.0, 283792.0)	(34.0, 351121.0)	(35.0, 442763.0)	(36.0, 562325.0)	(37.0, 724841.0)	(38.0, 1213584.0)	(39.0, 6313455.0)	(40.0, 675141.0)												
2CLCmesc_1_RR_S9_1	(17.0, 21.0)	(18.0, 323.0)	(19.0, 3302.0)	(20.0, 13308.0)	(21.0, 24596.0)	(22.0, 30020.0)	(23.0, 38396.0)	(24.0, 70737.0)	(25.0, 151445.0)	(26.0, 300428.0)	(27.0, 434931.0)	(28.0, 451685.0)	(29.0, 341618.0)	(30.0, 235167.0)	(31.0, 169211.0)	(32.0, 145697.0)	(33.0, 136879.0)	(34.0, 134273.0)	(35.0, 138416.0)	(36.0, 154114.0)	(37.0, 145640.0)	(38.0, 132465.0)	(39.0, 135205.0)	(40.0, 77090.0)															
2CLCmesc_1_RR_S9_2	(14.0, 5.0)	(15.0, 137.0)	(16.0, 1445.0)	(17.0, 8981.0)	(18.0, 22082.0)	(19.0, 23357.0)	(20.0, 19371.0)	(21.0, 19771.0)	(22.0, 21624.0)	(23.0, 20927.0)	(24.0, 20573.0)	(25.0, 21887.0)	(26.0, 25059.0)	(27.0, 31839.0)	(28.0, 50744.0)	(29.0, 78302.0)	(30.0, 90344.0)	(31.0, 91673.0)	(32.0, 103036.0)	(33.0, 120116.0)	(34.0, 139051.0)	(35.0, 162320.0)	(36.0, 191409.0)	(37.0, 226893.0)	(38.0, 347584.0)	(39.0, 1478875.0)	(40.0, 147562.0)												
2CLCmesc_1_S1_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 60.0)	(18.0, 1192.0)	(19.0, 9990.0)	(20.0, 40713.0)	(21.0, 78980.0)	(22.0, 110655.0)	(23.0, 160863.0)	(24.0, 355925.0)	(25.0, 892908.0)	(26.0, 1748584.0)	(27.0, 2130904.0)	(28.0, 1817761.0)	(29.0, 1267195.0)	(30.0, 957784.0)	(31.0, 712688.0)	(32.0, 597808.0)	(33.0, 519670.0)	(34.0, 474591.0)	(35.0, 450005.0)	(36.0, 446649.0)	(37.0, 374645.0)	(38.0, 302911.0)	(39.0, 274816.0)	(40.0, 152446.0)
2CLCmesc_1_S1_2	(14.0, 3.0)	(15.0, 166.0)	(16.0, 4510.0)	(17.0, 31669.0)	(18.0, 69811.0)	(19.0, 81484.0)	(20.0, 89905.0)	(21.0, 115685.0)	(22.0, 147024.0)	(23.0, 170241.0)	(24.0, 196474.0)	(25.0, 229468.0)	(26.0, 291915.0)	(27.0, 441744.0)	(28.0, 899046.0)	(29.0, 1634576.0)	(30.0, 1525332.0)	(31.0, 914059.0)	(32.0, 679035.0)	(33.0, 590891.0)	(34.0, 552020.0)	(35.0, 536774.0)	(36.0, 586346.0)	(37.0, 638512.0)	(38.0, 731375.0)	(39.0, 2452104.0)	(40.0, 269579.0)												
