Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
2CLCmesc_4_S6_1	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 110.0)	(18.0, 1908.0)	(19.0, 16091.0)	(20.0, 70373.0)	(21.0, 140906.0)	(22.0, 193826.0)	(23.0, 286665.0)	(24.0, 519008.0)	(25.0, 928073.0)	(26.0, 1455644.0)	(27.0, 1686891.0)	(28.0, 1553388.0)	(29.0, 1219284.0)	(30.0, 973976.0)	(31.0, 780437.0)	(32.0, 764377.0)	(33.0, 643179.0)	(34.0, 582073.0)	(35.0, 593217.0)	(36.0, 645735.0)	(37.0, 613789.0)	(38.0, 627106.0)	(39.0, 948573.0)	(40.0, 675237.0)
2CLCmesc_4_S6_2	(14.0, 30.0)	(15.0, 655.0)	(16.0, 6533.0)	(17.0, 38157.0)	(18.0, 104007.0)	(19.0, 120572.0)	(20.0, 87298.0)	(21.0, 75226.0)	(22.0, 76321.0)	(23.0, 76863.0)	(24.0, 82359.0)	(25.0, 91804.0)	(26.0, 107529.0)	(27.0, 134291.0)	(28.0, 207205.0)	(29.0, 364555.0)	(30.0, 463107.0)	(31.0, 385464.0)	(32.0, 376135.0)	(33.0, 426348.0)	(34.0, 512449.0)	(35.0, 625913.0)	(36.0, 784316.0)	(37.0, 1015561.0)	(38.0, 1631952.0)	(39.0, 7116031.0)	(40.0, 1009196.0)												
2CLCmesc_5_RR_S13_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 40.0)	(18.0, 960.0)	(19.0, 8603.0)	(20.0, 35030.0)	(21.0, 64528.0)	(22.0, 73629.0)	(23.0, 86314.0)	(24.0, 151685.0)	(25.0, 303088.0)	(26.0, 549691.0)	(27.0, 734574.0)	(28.0, 735768.0)	(29.0, 562686.0)	(30.0, 409240.0)	(31.0, 324025.0)	(32.0, 314412.0)	(33.0, 307666.0)	(34.0, 295649.0)	(35.0, 293566.0)	(36.0, 327298.0)	(37.0, 311535.0)	(38.0, 291664.0)	(39.0, 325958.0)	(40.0, 199507.0)
2CLCmesc_5_RR_S13_2	(14.0, 22.0)	(15.0, 467.0)	(16.0, 3809.0)	(17.0, 22066.0)	(18.0, 56389.0)	(19.0, 60104.0)	(20.0, 39291.0)	(21.0, 32593.0)	(22.0, 31736.0)	(23.0, 30016.0)	(24.0, 29819.0)	(25.0, 31170.0)	(26.0, 34993.0)	(27.0, 41779.0)	(28.0, 58726.0)	(29.0, 88037.0)	(30.0, 106642.0)	(31.0, 106157.0)	(32.0, 120715.0)	(33.0, 147433.0)	(34.0, 184171.0)	(35.0, 232800.0)	(36.0, 298363.0)	(37.0, 395246.0)	(38.0, 684299.0)	(39.0, 3452473.0)	(40.0, 417802.0)												
2CLCmesc_5_S7_1	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 72.0)	(18.0, 1405.0)	(19.0, 13416.0)	(20.0, 55385.0)	(21.0, 104856.0)	(22.0, 135739.0)	(23.0, 190367.0)	(24.0, 372108.0)	(25.0, 802142.0)	(26.0, 1498686.0)	(27.0, 1996723.0)	(28.0, 1977193.0)	(29.0, 1501782.0)	(30.0, 1090752.0)	(31.0, 845918.0)	(32.0, 770119.0)	(33.0, 736285.0)	(34.0, 717905.0)	(35.0, 737666.0)	(36.0, 813149.0)	(37.0, 750809.0)	(38.0, 689609.0)	(39.0, 721683.0)	(40.0, 416661.0)
2CLCmesc_5_S7_2	(14.0, 18.0)	(15.0, 500.0)	(16.0, 5401.0)	(17.0, 31343.0)	(18.0, 81806.0)	(19.0, 92441.0)	(20.0, 73579.0)	(21.0, 69268.0)	(22.0, 70390.0)	(23.0, 68450.0)	(24.0, 68870.0)	(25.0, 72151.0)	(26.0, 80490.0)	(27.0, 97614.0)	(28.0, 144798.0)	(29.0, 232795.0)	(30.0, 285160.0)	(31.0, 282139.0)	(32.0, 323644.0)	(33.0, 404327.0)	(34.0, 519605.0)	(35.0, 655191.0)	(36.0, 826612.0)	(37.0, 1071350.0)	(38.0, 1757440.0)	(39.0, 8363404.0)	(40.0, 1261654.0)												
2CLCmesc_6_RR_S14_1	(2.0, 21.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 109.0)	(18.0, 1399.0)	(19.0, 9465.0)	(20.0, 34618.0)	(21.0, 58623.0)	(22.0, 73553.0)	(23.0, 106532.0)	(24.0, 175450.0)	(25.0, 254688.0)	(26.0, 341798.0)	(27.0, 378349.0)	(28.0, 362303.0)	(29.0, 308238.0)	(30.0, 296676.0)	(31.0, 335822.0)	(32.0, 351885.0)	(33.0, 303298.0)	(34.0, 227546.0)	(35.0, 196815.0)	(36.0, 202870.0)	(37.0, 196299.0)	(38.0, 227188.0)	(39.0, 509867.0)	(40.0, 443379.0)
2CLCmesc_6_RR_S14_2	(14.0, 11.0)	(15.0, 290.0)	(16.0, 2878.0)	(17.0, 16288.0)	(18.0, 41914.0)	(19.0, 49659.0)	(20.0, 38479.0)	(21.0, 33375.0)	(22.0, 36177.0)	(23.0, 40799.0)	(24.0, 49628.0)	(25.0, 61010.0)	(26.0, 78691.0)	(27.0, 99321.0)	(28.0, 132998.0)	(29.0, 183576.0)	(30.0, 211429.0)	(31.0, 161560.0)	(32.0, 143233.0)	(33.0, 150357.0)	(34.0, 167689.0)	(35.0, 194097.0)	(36.0, 237665.0)	(37.0, 307017.0)	(38.0, 504406.0)	(39.0, 2213275.0)	(40.0, 240973.0)												
2CLCmesc_6_S8_1	(16.0, 3.0)	(17.0, 93.0)	(18.0, 1139.0)	(19.0, 8181.0)	(20.0, 32700.0)	(21.0, 67151.0)	(22.0, 113891.0)	(23.0, 197503.0)	(24.0, 340878.0)	(25.0, 502220.0)	(26.0, 681966.0)	(27.0, 758974.0)	(28.0, 719244.0)	(29.0, 628742.0)	(30.0, 638556.0)	(31.0, 548000.0)	(32.0, 522799.0)	(33.0, 464922.0)	(34.0, 352552.0)	(35.0, 334232.0)	(36.0, 353183.0)	(37.0, 337483.0)	(38.0, 378712.0)	(39.0, 735816.0)	(40.0, 591987.0)														
2CLCmesc_6_S8_2	(14.0, 7.0)	(15.0, 163.0)	(16.0, 2799.0)	(17.0, 16423.0)	(18.0, 38094.0)	(19.0, 46617.0)	(20.0, 43152.0)	(21.0, 42736.0)	(22.0, 47426.0)	(23.0, 53985.0)	(24.0, 65549.0)	(25.0, 79754.0)	(26.0, 102793.0)	(27.0, 132972.0)	(28.0, 191709.0)	(29.0, 302172.0)	(30.0, 360134.0)	(31.0, 269841.0)	(32.0, 241420.0)	(33.0, 257371.0)	(34.0, 292440.0)	(35.0, 342008.0)	(36.0, 425331.0)	(37.0, 550290.0)	(38.0, 902749.0)	(39.0, 3998806.0)	(40.0, 504186.0)												
combined_003_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 104.0)	(18.0, 1896.0)	(19.0, 16411.0)	(20.0, 63199.0)	(21.0, 124237.0)	(22.0, 170457.0)	(23.0, 219717.0)	(24.0, 400844.0)	(25.0, 872303.0)	(26.0, 1780956.0)	(27.0, 2601687.0)	(28.0, 2578794.0)	(29.0, 1787561.0)	(30.0, 1254394.0)	(31.0, 981850.0)	(32.0, 913139.0)	(33.0, 889856.0)	(34.0, 926831.0)	(35.0, 1077606.0)	(36.0, 1432345.0)	(37.0, 1553038.0)	(38.0, 1311555.0)	(39.0, 1073936.0)	(40.0, 520002.0)
combined_003_2	(14.0, 19.0)	(15.0, 433.0)	(16.0, 7449.0)	(17.0, 52055.0)	(18.0, 126482.0)	(19.0, 143737.0)	(20.0, 137198.0)	(21.0, 161595.0)	(22.0, 201776.0)	(23.0, 228377.0)	(24.0, 258965.0)	(25.0, 284978.0)	(26.0, 339103.0)	(27.0, 467990.0)	(28.0, 852340.0)	(29.0, 1496465.0)	(30.0, 1508127.0)	(31.0, 973578.0)	(32.0, 786194.0)	(33.0, 767459.0)	(34.0, 809588.0)	(35.0, 888115.0)	(36.0, 1069396.0)	(37.0, 1303753.0)	(38.0, 1820339.0)	(39.0, 7115906.0)	(40.0, 751307.0)												
combined_003_3	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 42.0)	(18.0, 857.0)	(19.0, 7937.0)	(20.0, 32061.0)	(21.0, 62347.0)	(22.0, 84865.0)	(23.0, 116088.0)	(24.0, 217091.0)	(25.0, 456030.0)	(26.0, 867644.0)	(27.0, 1175875.0)	(28.0, 1174353.0)	(29.0, 890620.0)	(30.0, 676605.0)	(31.0, 601570.0)	(32.0, 567389.0)	(33.0, 500519.0)	(34.0, 486061.0)	(35.0, 515055.0)	(36.0, 624972.0)	(37.0, 666452.0)	(38.0, 707836.0)	(39.0, 655917.0)	(40.0, 158728.0)
combined_003_4	(14.0, 13.0)	(15.0, 268.0)	(16.0, 3277.0)	(17.0, 20237.0)	(18.0, 50981.0)	(19.0, 56402.0)	(20.0, 39396.0)	(21.0, 31815.0)	(22.0, 31613.0)	(23.0, 32553.0)	(24.0, 35014.0)	(25.0, 38485.0)	(26.0, 45872.0)	(27.0, 60995.0)	(28.0, 103588.0)	(29.0, 175899.0)	(30.0, 226029.0)	(31.0, 241133.0)	(32.0, 280527.0)	(33.0, 342049.0)	(34.0, 415621.0)	(35.0, 512678.0)	(36.0, 636134.0)	(37.0, 788900.0)	(38.0, 1212722.0)	(39.0, 5335737.0)	(40.0, 528980.0)												
combined_004_1	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 83.0)	(18.0, 1661.0)	(19.0, 14539.0)	(20.0, 57960.0)	(21.0, 107355.0)	(22.0, 142158.0)	(23.0, 204479.0)	(24.0, 441768.0)	(25.0, 1066856.0)	(26.0, 2008944.0)	(27.0, 2486625.0)	(28.0, 2245012.0)	(29.0, 1616666.0)	(30.0, 1180389.0)	(31.0, 843016.0)	(32.0, 697100.0)	(33.0, 625315.0)	(34.0, 594264.0)	(35.0, 591931.0)	(36.0, 623662.0)	(37.0, 554509.0)	(38.0, 475191.0)	(39.0, 410890.0)	(40.0, 184391.0)
combined_004_2	(14.0, 14.0)	(15.0, 384.0)	(16.0, 5551.0)	(17.0, 36841.0)	(18.0, 87691.0)	(19.0, 99557.0)	(20.0, 91400.0)	(21.0, 103564.0)	(22.0, 124402.0)	(23.0, 136816.0)	(24.0, 152237.0)	(25.0, 164943.0)	(26.0, 192207.0)	(27.0, 267035.0)	(28.0, 520494.0)	(29.0, 981473.0)	(30.0, 1000190.0)	(31.0, 680856.0)	(32.0, 572279.0)	(33.0, 571174.0)	(34.0, 607881.0)	(35.0, 674291.0)	(36.0, 800291.0)	(37.0, 959065.0)	(38.0, 1384873.0)	(39.0, 6148181.0)	(40.0, 811085.0)												
combined_004_3	(16.0, 2.0)	(17.0, 45.0)	(18.0, 997.0)	(19.0, 9593.0)	(20.0, 38828.0)	(21.0, 72378.0)	(22.0, 93623.0)	(23.0, 132232.0)	(24.0, 261158.0)	(25.0, 576205.0)	(26.0, 1118196.0)	(27.0, 1527480.0)	(28.0, 1503706.0)	(29.0, 1094104.0)	(30.0, 736834.0)	(31.0, 540065.0)	(32.0, 498582.0)	(33.0, 495054.0)	(34.0, 511020.0)	(35.0, 542980.0)	(36.0, 605140.0)	(37.0, 542031.0)	(38.0, 469507.0)	(39.0, 379354.0)	(40.0, 119677.0)														
combined_004_4	(14.0, 14.0)	(15.0, 423.0)	(16.0, 3970.0)	(17.0, 22556.0)	(18.0, 55437.0)	(19.0, 59474.0)	(20.0, 41092.0)	(21.0, 33586.0)	(22.0, 33421.0)	(23.0, 33656.0)	(24.0, 35532.0)	(25.0, 38575.0)	(26.0, 44735.0)	(27.0, 57346.0)	(28.0, 91304.0)	(29.0, 146017.0)	(30.0, 181382.0)	(31.0, 193717.0)	(32.0, 229532.0)	(33.0, 283792.0)	(34.0, 351121.0)	(35.0, 442763.0)	(36.0, 562325.0)	(37.0, 724841.0)	(38.0, 1213584.0)	(39.0, 6313455.0)	(40.0, 675141.0)												
combined_1_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 60.0)	(18.0, 1192.0)	(19.0, 9990.0)	(20.0, 40713.0)	(21.0, 78980.0)	(22.0, 110655.0)	(23.0, 160863.0)	(24.0, 355925.0)	(25.0, 892908.0)	(26.0, 1748584.0)	(27.0, 2130904.0)	(28.0, 1817761.0)	(29.0, 1267195.0)	(30.0, 957784.0)	(31.0, 712688.0)	(32.0, 597808.0)	(33.0, 519670.0)	(34.0, 474591.0)	(35.0, 450005.0)	(36.0, 446649.0)	(37.0, 374645.0)	(38.0, 302911.0)	(39.0, 274816.0)	(40.0, 152446.0)
combined_1_2	(14.0, 3.0)	(15.0, 166.0)	(16.0, 4510.0)	(17.0, 31669.0)	(18.0, 69811.0)	(19.0, 81484.0)	(20.0, 89905.0)	(21.0, 115685.0)	(22.0, 147024.0)	(23.0, 170241.0)	(24.0, 196474.0)	(25.0, 229468.0)	(26.0, 291915.0)	(27.0, 441744.0)	(28.0, 899046.0)	(29.0, 1634576.0)	(30.0, 1525332.0)	(31.0, 914059.0)	(32.0, 679035.0)	(33.0, 590891.0)	(34.0, 552020.0)	(35.0, 536774.0)	(36.0, 586346.0)	(37.0, 638512.0)	(38.0, 731375.0)	(39.0, 2452104.0)	(40.0, 269579.0)												
combined_1_3	(17.0, 21.0)	(18.0, 323.0)	(19.0, 3302.0)	(20.0, 13308.0)	(21.0, 24596.0)	(22.0, 30020.0)	(23.0, 38396.0)	(24.0, 70737.0)	(25.0, 151445.0)	(26.0, 300428.0)	(27.0, 434931.0)	(28.0, 451685.0)	(29.0, 341618.0)	(30.0, 235167.0)	(31.0, 169211.0)	(32.0, 145697.0)	(33.0, 136879.0)	(34.0, 134273.0)	(35.0, 138416.0)	(36.0, 154114.0)	(37.0, 145640.0)	(38.0, 132465.0)	(39.0, 135205.0)	(40.0, 77090.0)															
combined_1_4	(14.0, 5.0)	(15.0, 137.0)	(16.0, 1445.0)	(17.0, 8981.0)	(18.0, 22082.0)	(19.0, 23357.0)	(20.0, 19371.0)	(21.0, 19771.0)	(22.0, 21624.0)	(23.0, 20927.0)	(24.0, 20573.0)	(25.0, 21887.0)	(26.0, 25059.0)	(27.0, 31839.0)	(28.0, 50744.0)	(29.0, 78302.0)	(30.0, 90344.0)	(31.0, 91673.0)	(32.0, 103036.0)	(33.0, 120116.0)	(34.0, 139051.0)	(35.0, 162320.0)	(36.0, 191409.0)	(37.0, 226893.0)	(38.0, 347584.0)	(39.0, 1478875.0)	(40.0, 147562.0)												
combined_2_1	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 80.0)	(18.0, 1342.0)	(19.0, 11481.0)	(20.0, 45793.0)	(21.0, 87536.0)	(22.0, 110410.0)	(23.0, 140934.0)	(24.0, 280413.0)	(25.0, 644220.0)	(26.0, 1238201.0)	(27.0, 1554854.0)	(28.0, 1360005.0)	(29.0, 924904.0)	(30.0, 713291.0)	(31.0, 634053.0)	(32.0, 560222.0)	(33.0, 492124.0)	(34.0, 461029.0)	(35.0, 439857.0)	(36.0, 458711.0)	(37.0, 390958.0)	(38.0, 310029.0)	(39.0, 284450.0)	(40.0, 146328.0)
combined_2_2	(14.0, 5.0)	(15.0, 265.0)	(16.0, 5201.0)	(17.0, 34924.0)	(18.0, 77177.0)	(19.0, 85799.0)	(20.0, 81820.0)	(21.0, 94475.0)	(22.0, 117004.0)	(23.0, 136164.0)	(24.0, 158527.0)	(25.0, 184882.0)	(26.0, 237288.0)	(27.0, 359633.0)	(28.0, 729615.0)	(29.0, 1317898.0)	(30.0, 1230018.0)	(31.0, 738341.0)	(32.0, 557210.0)	(33.0, 493422.0)	(34.0, 468342.0)	(35.0, 456052.0)	(36.0, 496277.0)	(37.0, 539333.0)	(38.0, 607311.0)	(39.0, 1921702.0)	(40.0, 162551.0)												
combined_2_3	(16.0, 1.0)	(17.0, 20.0)	(18.0, 622.0)	(19.0, 5495.0)	(20.0, 22014.0)	(21.0, 41786.0)	(22.0, 59284.0)	(23.0, 88808.0)	(24.0, 174329.0)	(25.0, 377661.0)	(26.0, 732156.0)	(27.0, 1008567.0)	(28.0, 1014515.0)	(29.0, 762435.0)	(30.0, 533745.0)	(31.0, 412168.0)	(32.0, 381429.0)	(33.0, 363029.0)	(34.0, 353371.0)	(35.0, 354991.0)	(36.0, 398768.0)	(37.0, 382323.0)	(38.0, 350167.0)	(39.0, 348696.0)	(40.0, 175321.0)														
combined_2_4	(14.0, 8.0)	(15.0, 160.0)	(16.0, 2291.0)	(17.0, 14462.0)	(18.0, 33887.0)	(19.0, 38910.0)	(20.0, 37910.0)	(21.0, 41810.0)	(22.0, 44610.0)	(23.0, 43953.0)	(24.0, 45423.0)	(25.0, 48950.0)	(26.0, 57645.0)	(27.0, 78066.0)	(28.0, 131756.0)	(29.0, 212122.0)	(30.0, 245773.0)	(31.0, 243291.0)	(32.0, 267981.0)	(33.0, 312865.0)	(34.0, 356244.0)	(35.0, 415721.0)	(36.0, 492303.0)	(37.0, 568868.0)	(38.0, 837749.0)	(39.0, 3444114.0)	(40.0, 324829.0)												
combined_3_1	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 6.0)	(17.0, 115.0)	(18.0, 2478.0)	(19.0, 21628.0)	(20.0, 92831.0)	(21.0, 179768.0)	(22.0, 237423.0)	(23.0, 327785.0)	(24.0, 591030.0)	(25.0, 1131829.0)	(26.0, 1989811.0)	(27.0, 2479033.0)	(28.0, 2255276.0)	(29.0, 1608387.0)	(30.0, 1173686.0)	(31.0, 995583.0)	(32.0, 998298.0)	(33.0, 1003811.0)	(34.0, 951768.0)	(35.0, 855307.0)	(36.0, 906672.0)	(37.0, 829920.0)	(38.0, 757768.0)	(39.0, 763133.0)	(40.0, 398321.0)
combined_3_2	(13.0, 1.0)	(14.0, 34.0)	(15.0, 749.0)	(16.0, 8292.0)	(17.0, 51628.0)	(18.0, 135092.0)	(19.0, 153273.0)	(20.0, 113209.0)	(21.0, 97818.0)	(22.0, 99929.0)	(23.0, 100825.0)	(24.0, 104304.0)	(25.0, 111937.0)	(26.0, 132264.0)	(27.0, 177530.0)	(28.0, 326588.0)	(29.0, 638608.0)	(30.0, 714634.0)	(31.0, 525873.0)	(32.0, 489086.0)	(33.0, 537541.0)	(34.0, 632624.0)	(35.0, 762835.0)	(36.0, 959518.0)	(37.0, 1234341.0)	(38.0, 1986780.0)	(39.0, 9199898.0)	(40.0, 1256469.0)											
combined_3_3	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 82.0)	(18.0, 1771.0)	(19.0, 16889.0)	(20.0, 69861.0)	(21.0, 127139.0)	(22.0, 147165.0)	(23.0, 180101.0)	(24.0, 322798.0)	(25.0, 630095.0)	(26.0, 1128866.0)	(27.0, 1481079.0)	(28.0, 1449481.0)	(29.0, 1075329.0)	(30.0, 757416.0)	(31.0, 578864.0)	(32.0, 541634.0)	(33.0, 545182.0)	(34.0, 571786.0)	(35.0, 624255.0)	(36.0, 725623.0)	(37.0, 676374.0)	(38.0, 595269.0)	(39.0, 617928.0)	(40.0, 341465.0)
combined_3_4	(14.0, 33.0)	(15.0, 951.0)	(16.0, 8128.0)	(17.0, 44282.0)	(18.0, 109503.0)	(19.0, 113587.0)	(20.0, 72199.0)	(21.0, 56983.0)	(22.0, 54527.0)	(23.0, 51101.0)	(24.0, 51108.0)	(25.0, 52424.0)	(26.0, 59837.0)	(27.0, 73011.0)	(28.0, 110312.0)	(29.0, 180746.0)	(30.0, 230734.0)	(31.0, 223622.0)	(32.0, 251879.0)	(33.0, 309982.0)	(34.0, 389337.0)	(35.0, 491303.0)	(36.0, 635524.0)	(37.0, 831249.0)	(38.0, 1398642.0)	(39.0, 6676487.0)	(40.0, 728971.0)												
combined_4_1	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 110.0)	(18.0, 1908.0)	(19.0, 16091.0)	(20.0, 70373.0)	(21.0, 140906.0)	(22.0, 193826.0)	(23.0, 286665.0)	(24.0, 519008.0)	(25.0, 928073.0)	(26.0, 1455644.0)	(27.0, 1686891.0)	(28.0, 1553388.0)	(29.0, 1219284.0)	(30.0, 973976.0)	(31.0, 780437.0)	(32.0, 764377.0)	(33.0, 643179.0)	(34.0, 582073.0)	(35.0, 593217.0)	(36.0, 645735.0)	(37.0, 613789.0)	(38.0, 627106.0)	(39.0, 948573.0)	(40.0, 675237.0)
combined_4_2	(14.0, 30.0)	(15.0, 655.0)	(16.0, 6533.0)	(17.0, 38157.0)	(18.0, 104007.0)	(19.0, 120572.0)	(20.0, 87298.0)	(21.0, 75226.0)	(22.0, 76321.0)	(23.0, 76863.0)	(24.0, 82359.0)	(25.0, 91804.0)	(26.0, 107529.0)	(27.0, 134291.0)	(28.0, 207205.0)	(29.0, 364555.0)	(30.0, 463107.0)	(31.0, 385464.0)	(32.0, 376135.0)	(33.0, 426348.0)	(34.0, 512449.0)	(35.0, 625913.0)	(36.0, 784316.0)	(37.0, 1015561.0)	(38.0, 1631952.0)	(39.0, 7116031.0)	(40.0, 1009196.0)												
combined_4_3	(2.0, 12.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 90.0)	(18.0, 1624.0)	(19.0, 13992.0)	(20.0, 59529.0)	(21.0, 124620.0)	(22.0, 204390.0)	(23.0, 314728.0)	(24.0, 461846.0)	(25.0, 652663.0)	(26.0, 906314.0)	(27.0, 1035419.0)	(28.0, 984379.0)	(29.0, 798270.0)	(30.0, 690373.0)	(31.0, 719814.0)	(32.0, 937612.0)	(33.0, 818311.0)	(34.0, 534475.0)	(35.0, 486288.0)	(36.0, 490501.0)	(37.0, 429325.0)	(38.0, 412522.0)	(39.0, 566745.0)	(40.0, 376004.0)
combined_4_4	(14.0, 7.0)	(15.0, 426.0)	(16.0, 5265.0)	(17.0, 29894.0)	(18.0, 68302.0)	(19.0, 73956.0)	(20.0, 59769.0)	(21.0, 54475.0)	(22.0, 54221.0)	(23.0, 53493.0)	(24.0, 55509.0)	(25.0, 60966.0)	(26.0, 72386.0)	(27.0, 92947.0)	(28.0, 142463.0)	(29.0, 252632.0)	(30.0, 337208.0)	(31.0, 267165.0)	(32.0, 248434.0)	(33.0, 277519.0)	(34.0, 328489.0)	(35.0, 401475.0)	(36.0, 519083.0)	(37.0, 703855.0)	(38.0, 1252688.0)	(39.0, 6111511.0)	(40.0, 495709.0)												
combined_5_1	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 72.0)	(18.0, 1405.0)	(19.0, 13416.0)	(20.0, 55385.0)	(21.0, 104856.0)	(22.0, 135739.0)	(23.0, 190367.0)	(24.0, 372108.0)	(25.0, 802142.0)	(26.0, 1498686.0)	(27.0, 1996723.0)	(28.0, 1977193.0)	(29.0, 1501782.0)	(30.0, 1090752.0)	(31.0, 845918.0)	(32.0, 770119.0)	(33.0, 736285.0)	(34.0, 717905.0)	(35.0, 737666.0)	(36.0, 813149.0)	(37.0, 750809.0)	(38.0, 689609.0)	(39.0, 721683.0)	(40.0, 416661.0)
combined_5_2	(14.0, 18.0)	(15.0, 500.0)	(16.0, 5401.0)	(17.0, 31343.0)	(18.0, 81806.0)	(19.0, 92441.0)	(20.0, 73579.0)	(21.0, 69268.0)	(22.0, 70390.0)	(23.0, 68450.0)	(24.0, 68870.0)	(25.0, 72151.0)	(26.0, 80490.0)	(27.0, 97614.0)	(28.0, 144798.0)	(29.0, 232795.0)	(30.0, 285160.0)	(31.0, 282139.0)	(32.0, 323644.0)	(33.0, 404327.0)	(34.0, 519605.0)	(35.0, 655191.0)	(36.0, 826612.0)	(37.0, 1071350.0)	(38.0, 1757440.0)	(39.0, 8363404.0)	(40.0, 1261654.0)												
